"site","region","apn","product","part_description","sto_class","req_number","req_qty","req_date","days_open"
"SHV1","NA","3008738","URL","Outer disc incl. locking hub","01 HIGH","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008739","URL","V1-G-10M-PVC, CABLE 10M M12/F/8P/0 10M","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008740","URL","Spacer disc 5mm","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008741","URL","Spring - break band","02 MED","1734545","24.0","2026-03-19","134"
"SHV1","NA","3008742","URL","Siemens 3NW7513-0HG Fuse Holder, 1-P, 32A, 600V, Class Cc F","02 MED","1734546","4.0","2026-03-19","134"
"SHV1","NA","3008743","URL","CIRCUIT BREAKER MOTOR,CONTACT ,1NO,1NC","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008744","URL","S80 Adapter board - “Printer Port”","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008745","URL","BOARD 200041062","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008746","URL","ROLLER_REWIND","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008747","URL","Shock absorber 20x15 incl. screw","02 MED","1734545","12.0","2026-03-19","134"
"SHV1","NA","3008748","URL","Spacer for unwinder 8mm for S80","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008749","URL","Warning low level labels; optic sensor","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008750","URL","PLUG DFMC 1,5/ 5-ST-3,5-LR","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008751","URL","6MM POLYCORDSTRAIGHT LENGTH: 238MM (INSTALLATION LENGTH)CUT LENGTH: 241MM","02 MED","1734546","5.0","2026-03-19","134"
"SHV1","NA","3008753","URL","SWITCH_INLET_AND_FUSES","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008754","URL","T-COUPLER M8 MALE / 2X M8 FEMALE","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008759","URL","M8 4-POLE PVC 10M CABLE","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008760","URL","SUPPORT_DISC_REWINDER","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008761","URL","S80 motor assembly","02 MED","1734546","2.0","2026-03-19","134"
"SHV1","NA","3008762","URL","Roller – label unwinder","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008763","URL","Adapter 76 mm width 30 mm","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3008765","URL","MOTOR PROTECTIVE CIRCUIT BREAKER 3P,4A","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008767","URL","DRIVE ROLLER,BAL B-ST ST F12,D79 BB600","02 MED","1734545","4.0","2026-03-19","134"
"SHV1","NA","3008768","URL","SEW VSD DRIVE 115V,0.75KW","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008769","URL","CONNECTOR PHOENIX PLUG,12 WAY","02 MED","1734545","1.0","2026-03-19","134"
"SHV1","NA","3008771","URL","RING_GUIDE","02 MED","1734545","12.0","2026-03-19","134"
"SHV1","NA","3008773","URL","Photocell cable, 5 m","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008774","URL","CABLE WEIGHCELL,0.1M,ADAPTER,SCALA-LIBRA","02 MED","1734545","3.0","2026-03-19","134"
"SHV1","NA","3008776","URL","Tube guide roller Shaft","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3077285","URL","DOL-2312-G10MMA3 CABLE","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3077291","URL","COMMS ADAPTER","02 MED","1734545","2.0","2026-03-19","134"
"SHV1","NA","3083137","URL","STANDARD LENGTH PEEL BAR ZE511 RH & LH","02 MED","1734545","4.0","2026-03-19","134"
